weekday	meal_type	wait_staff	party_size	meal_total	tip
Saturday	Dinner	Marcia	2	100.64	16.23
Friday	Dinner	Marcia	2	109.84	5.99
Friday	Lunch	Jan	4	90.5	22.04
Monday	Dinner	Marcia	1	60.01	8.77
Monday	Breakfast	Jan	1	10.88	1.68
Saturday	Dinner	Greg	1	60.01	7.71
Saturday	Dinner	Greg	1	54.79	9.08
Friday	Breakfast	Bobby	4	49.33	8.07
Saturday	Dinner	Greg	3	176.23	38.58
Friday	Lunch	Bobby	3	59.69	8.52
Saturday	Dinner	Greg	4	228.41	37.12
Friday	Dinner	Bobby	2	118.41	24.87
Sunday	Dinner	Greg	4	200.81	16.76
Friday	Dinner	Bobby	1	49.33	7.82
Tuesday	Dinner	Greg	3	163.07	10.58
Tuesday	Breakfast	Marcia	1	9.71	1.99
Thursday	Dinner	Greg	3	164.88	47.17
Sunday	Dinner	Peter	2	123.57	24.29
Saturday	Dinner	Greg	1	56.91	8.11
Saturday	Dinner	Jan	3	171.62	32.05
Friday	Lunch	Greg	2	46.28	4.23
Friday	Dinner	Peter	4	227.5	29.41
Saturday	Dinner	Marcia	2	116.47	30.94
Saturday	Dinner	Peter	1	48.72	6.68
Friday	Dinner	Jan	1	48.19	5.28
Friday	Dinner	Marcia	1	55.46	5.29
Friday	Dinner	Bobby	1	60.96	6.61
Friday	Dinner	Greg	4	219.89	45.49
Wednesday	Dinner	Cindy	2	100.74	13.48
Friday	Dinner	Peter	4	214.72	32.32
Saturday	Dinner	Cindy	1	48.97	4.82
Friday	Breakfast	Greg	3	46.44	5.54
Friday	Dinner	Marcia	2	109.87	19.47
Friday	Dinner	Greg	4	243.4	40.13
Thursday	Breakfast	Jan	4	46.96	8.07
Saturday	Dinner	Bobby	4	215.17	44.51
Friday	Dinner	Greg	4	241.08	25.99
Sunday	Breakfast	Peter	2	24.84	3.37
Sunday	Dinner	Greg	3	190.4	27.36
Wednesday	Breakfast	Jan	1	14.24	0.8
Friday	Lunch	Cindy	2	42.34	6.72
Thursday	Dinner	Bobby	2	108.55	17.84
Saturday	Dinner	Marcia	4	249.26	62.38
Saturday	Dinner	Greg	4	232.58	44.37
Saturday	Dinner	Greg	2	126.2	20.38
Friday	Dinner	Peter	3	158.69	21.68
Friday	Dinner	Marcia	3	187.02	14.02
Saturday	Dinner	Greg	4	223.92	26.14
Friday	Dinner	Marcia	2	113.42	23.12
Monday	Dinner	Greg	3	167.24	28.62
Friday	Dinner	Peter	1	65.93	0.75
Friday	Dinner	Marcia	2	118.39	23.78
Monday	Dinner	Peter	1	51.82	7.18
Wednesday	Dinner	Cindy	1	59.58	14.29
Sunday	Dinner	Jan	1	60.29	12.21
Saturday	Dinner	Greg	2	97.39	21
Saturday	Dinner	Marcia	2	124.83	19.75
Saturday	Dinner	Greg	1	73.46	4.94
Monday	Dinner	Jan	4	230.47	19.7
Friday	Dinner	Greg	1	66.45	19.27
Wednesday	Dinner	Greg	4	241.97	22.81
Sunday	Dinner	Marcia	2	100.85	16.84
Saturday	Dinner	Greg	4	209.82	29.97
Saturday	Dinner	Greg	1	52.69	2.47
Friday	Breakfast	Peter	2	30.8	1.79
Saturday	Dinner	Peter	4	245.97	29.28
Saturday	Breakfast	Bobby	4	36.89	5.36
Monday	Dinner	Marcia	4	251.27	59.05
Friday	Dinner	Marcia	1	53.81	3.45
Friday	Dinner	Greg	3	146.82	19.72
Saturday	Dinner	Greg	4	243.19	43.34
Saturday	Dinner	Greg	4	214.33	44.4
Wednesday	Dinner	Marcia	4	241.81	47.11
Saturday	Dinner	Peter	4	236.96	36.86
Saturday	Breakfast	Peter	4	37.23	5.92
Wednesday	Breakfast	Marcia	2	21.55	2.04
Saturday	Breakfast	Jan	4	31.16	7.02
Saturday	Breakfast	Marcia	4	46.66	8.32
Thursday	Dinner	Jan	4	247.14	35.87
Monday	Dinner	Jan	3	195.65	33.4
Friday	Dinner	Cindy	4	220.32	34.06
Friday	Dinner	Marcia	4	241.42	34.15
Sunday	Dinner	Greg	2	106.74	6.4
Saturday	Dinner	Greg	3	168.43	15.55
Saturday	Breakfast	Peter	4	39.39	7.44
Saturday	Dinner	Greg	4	250.1	22.06
Sunday	Breakfast	Bobby	4	47.96	7.74
Saturday	Breakfast	Peter	3	23.95	2.73
Friday	Dinner	Marcia	2	117.24	31.21
Saturday	Dinner	Peter	2	127.32	17.53
